TimeStamp,Volatility,Currency,Event 
1426671000,2,GBP,Unemployment Rate (Jan)
1426672800,2,EUR,Trade Balance (Jan)
1426674900,2,EUR,German 10-Year Bund Auction
1426681800,2,CAD,Wholesale Sales (MoM) (Jan)
1426689000,3,USD,Crude Oil Inventories
1426701600,3,USD,FOMC Economic Projections  
1426701600,3,USD,FOMC Statement  
1426701600,3,USD,Fed Interest Rate Decision
1426701600,2,USD,Treasury Secretary Lew Speaks  
1426703400,3,USD,FOMC Press Conference  
1426705140,2,BRL,CAGED Net Payroll Jobs (Feb)
1426715100,3,NZD,GDP (QoQ) (Q4)
1426654800,2,JPY,BoJ Monthly Report  
1426665600,2,ZAR,Core CPI (MoM) (Feb)
1426665600,2,ZAR,CPI (MoM) (Feb)
1426671000,3,GBP,Average Earnings Index +Bonus (Jan)
1426671000,2,GBP,BoE MPC vote cut (Mar)
1426671000,2,GBP,BoE MPC vote hike (Mar)
1426671000,2,GBP,BoE MPC vote unchanged (Mar)
1426671000,3,GBP,Claimant Count Change (Feb)
1426671000,3,GBP,BoE MPC Meeting Minutes  
1426671000,2,GBP,Unemployment Rate (Jan)
1426672800,2,EUR,Trade Balance (Jan)
1426674900,2,EUR,German 10-Year Bund Auction
1426681800,2,CAD,Wholesale Sales (MoM) (Jan)
1426689000,3,USD,Crude Oil Inventories
1426701600,3,USD,FOMC Economic Projections  
1426701600,3,USD,FOMC Statement  
1426701600,3,USD,Fed Interest Rate Decision
1426701600,2,USD,Treasury Secretary Lew Speaks  
1426703400,3,USD,FOMC Press Conference  
1426705140,2,BRL,CAGED Net Payroll Jobs (Feb)
1426715100,3,NZD,GDP (QoQ) (Q4)
1426753800,3,CHF,SNB Interest Rate Decision
1426753800,2,CHF,SNB Chairman Thomas Jordan speaks
1426753800,3,CHF,SNB Press Conference  
1426755600,2,EUR,ECB Economic Bulletin  
1426759200,2,EUR,Wages in euro zone (YoY) (Q4)
1426766400,2,RUB,Central Bank reserves (USD)
1426768200,2,USD,Current Account (Q4)
1426768200,2,USD,Initial Jobless Claims
1426771800,2,RUB,Retail Sales (YoY)
1426771800,2,RUB,Unemployment Rate (Feb)
1426773600,2,USD,FOMC Member Tarullo Speaks  
1426773600,3,USD,Philadelphia Fed Manufacturing Index (Mar)
1426773600,2,USD,Philly Fed Employment (Mar)
1426809000,2,JPY,Monetary Policy Meeting Minutes  
1426817400,2,AUD,RBA Governor Stevens Speaks  
1426834800,2,EUR,German PPI (MoM) (Feb)
1426854600,2,CAD,Core CPI (YoY) (Feb)
1426854600,3,CAD,Core CPI (MoM) (Feb)
1426854600,3,CAD,Core Retail Sales (MoM) (Jan)
1426854600,2,CAD,CPI (MoM) (Feb)
1426854600,2,CAD,Retail Sales (MoM) (Jan)
1426861200,2,USD,FOMC Member Lockhart Speaks  
1426865400,2,USD,Treasury Secretary Lew Speaks  
1426870800,2,USD,U.S. Baker Hughes Oil Rig Count
1426879800,2,GBP,CFTC GBP speculative net positions
1426879800,2,USD,CFTC Gold speculative net positions
1426879800,2,USD,CFTC S&P 500 speculative net positions
1426879800,2,AUD,CFTC AUD speculative net positions
1426879800,2,JPY,CFTC JPY speculative net positions
1426879800,2,RUB,CFTC RUB speculative positions
1426879800,2,EUR,CFTC EUR speculative net positions
1426883400,2,USD,CFTC Crude Oil speculative net positions
1426908900,2,JPY,BoJ Governor Kuroda Speaks  
1427058000,2,NZD,Westpac Consumer Sentiment (Q1)
1427086800,2,SGD,CPI (YoY) (Feb)
1427092200,2,GBP,Investing.com GBP/USD Index
1427092200,2,USD,Investing.com Gold Index
1427092200,2,USD,Investing.com S&P 500 Index
1427092200,2,CAD,Investing.com USD/CAD Index
1427092200,2,CHF,Investing.com USD/CHF Index
1427092200,2,AUD,Investing.com AUD/USD Index
