year,period,value,footnote_code,footnote_text,supersector_name,industry_name,seasonal_text,data_type_text,series_id,seasonal,begin_year,begin_period,end_year,end_period,serialid
1975,August,39.4,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000007,S,1947,M01,2015,October,1961
1973,M01,79.95,,,Mining and logging,Oil and gas extraction,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU1021100030,U,1972,M01,2015,September,857
1975,November,39.5,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000007,S,1947,M01,2015,October,1964
1978,M01,216.93,,,Mining and logging,Oil and gas extraction,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU1021100030,U,1972,M01,2015,September,859
1976,February,40.1,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000007,S,1947,M01,2015,October,1966
1985,M01,41.5,,,Mining and logging,Coal mining,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU1021210007,U,1985,M01,2015,September,861
1976,April,39.4,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000007,S,1947,M01,2015,October,1968
1989,M01,44.0,,,Mining and logging,Coal mining,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU1021210007,U,1985,M01,2015,September,863
1988,M01,769.05,,,Mining and logging,Coal mining,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU1021210030,U,1985,M01,2015,September,866
1976,August,39.7,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000007,S,1947,M01,2015,October,1972
1987,M01,739.16,,,Mining and logging,Coal mining,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU1021210030,U,1985,M01,2015,September,868
1976,October,39.7,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000007,S,1947,M01,2015,October,1974
1977,April,40.0,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000007,S,1947,M01,2015,October,1979
1951,M01,37.8,,,Construction,Construction,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU2000000007,U,1947,M01,2015,October,877
1978,February,39.3,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000007,S,1947,M01,2015,October,1988
1978,April,40.0,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000007,S,1947,M01,2015,October,1990
1977,M01,34.4,,,Construction,Construction,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU2000000007,U,1947,M01,2015,October,892
1976,M01,36.4,,,Construction,Construction,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU2000000007,U,1947,M01,2015,October,893
1971,M01,36.5,,,Construction,Construction,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU2000000007,U,1947,M01,2015,October,894
1968,M01,35.6,,,Construction,Construction,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU2000000007,U,1947,M01,2015,October,895
1973,M01,35.1,,,Construction,Construction,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU2000000007,U,1947,M01,2015,October,896
1969,M01,37.1,,,Construction,Construction,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU2000000007,U,1947,M01,2015,October,897
1974,M01,35.0,,,Construction,Construction,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU2000000007,U,1947,M01,2015,October,898
1979,September,39.8,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000007,S,1947,M01,2015,October,2006
1979,October,39.9,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000007,S,1947,M01,2015,October,2007
1955,M01,36.1,,,Construction,Construction,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU2000000007,U,1947,M01,2015,October,903
1982,M01,33.8,,,Construction,Construction,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU2000000007,U,1947,M01,2015,October,907
1956,M01,36.4,,,Construction,Construction,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU2000000007,U,1947,M01,2015,October,908
1953,M01,37.9,,,Construction,Construction,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU2000000007,U,1947,M01,2015,October,909
1947,March,43.63,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000030,S,1947,M01,2015,October,2014
1964,M01,34.6,,,Construction,Construction,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU2000000007,U,1947,M01,2015,October,911
1963,M01,35.9,,,Construction,Construction,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU2000000007,U,1947,M01,2015,October,912
1955,M01,72.56,,,Construction,Construction,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU2000000030,U,1947,M01,2015,October,916
1947,October,46.75,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000030,S,1947,M01,2015,October,2021
1976,M01,252.62,,,Construction,Construction,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU2000000030,U,1947,M01,2015,October,919
1966,M01,122.84,,,Construction,Construction,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU2000000030,U,1947,M01,2015,October,920
1983,M01,423.73,,,Construction,Construction,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU2000000030,U,1947,M01,2015,October,921
1977,M01,257.31,,,Construction,Construction,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU2000000030,U,1947,M01,2015,October,922
1948,April,47.64,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000030,S,1947,M01,2015,October,2026
1967,M01,133.84,,,Construction,Construction,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU2000000030,U,1947,M01,2015,October,924
1958,M01,87.24,,,Construction,Construction,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU2000000030,U,1947,M01,2015,October,925
1948,M01,46.48,,,Construction,Construction,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU2000000030,U,1947,M01,2015,October,926
1948,August,50.93,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000030,S,1947,M01,2015,October,2030
1948,September,51.46,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000030,S,1947,M01,2015,October,2031
1947,M01,40.04,,,Construction,Construction,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU2000000030,U,1947,M01,2015,October,929
1985,M01,433.58,,,Construction,Construction,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU2000000030,U,1947,M01,2015,October,936
1949,July,50.57,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000030,S,1947,M01,2015,October,2040
1972,M01,195.84,,,Construction,Construction,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU2000000030,U,1947,M01,2015,October,940
